ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0
3.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0
3.0,2.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,0.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0
3.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,0.0,2.0,4.0,6.0,4.0,3.0,4.0,3.0,3.0
3.0,4.0,6.0,5.0,8.0,3.0,4.0,5.0,5.0,4.0,3.0,0.0,2.0,5.0,6.0,4.0,3.0,4.0,3.0,3.0
3.0,5.0,6.0,5.0,10.0,4.0,4.0,5.0,5.0,6.0,3.0,0.0,2.0,5.0,8.0,4.0,3.0,4.0,4.0,3.0
3.0,5.0,6.0,6.0,10.0,4.0,5.0,5.0,10.0,6.0,5.0,0.0,2.0,7.0,8.0,7.0,3.0,8.0,4.0,3.0
4.0,5.0,6.0,6.0,12.0,6.0,5.0,5.0,10.0,7.0,5.0,0.0,2.0,7.0,9.0,7.0,3.0,8.0,5.0,5.0
4.0,5.0,6.0,10.0,12.0,6.0,7.0,5.0,13.0,7.0,6.0,1.0,2.0,8.0,9.0,7.0,4.0,8.0,5.0,5.0
5.0,7.0,6.0,10.0,13.0,7.0,7.0,6.0,13.0,7.0,6.0,1.0,3.0,8.0,9.0,7.0,4.0,8.0,7.0,8.0
6.0,7.0,6.0,10.0,14.0,7.0,8.0,6.0,13.0,8.0,6.0,1.0,4.0,8.0,10.0,8.0,4.0,8.0,7.0,8.0
6.0,9.0,7.0,12.0,14.0,7.0,8.0,6.0,15.0,8.0,6.0,1.0,4.0,8.0,10.0,8.0,5.0,11.0,11.0,10.0
8.0,9.0,7.0,12.0,15.0,7.0,8.0,6.0,15.0,10.0,6.0,1.0,5.0,8.0,13.0,10.0,5.0,11.0,11.0,10.0
8.0,10.0,8.0,15.0,15.0,7.0,8.0,7.0,16.0,10.0,6.0,1.0,5.0,10.0,13.0,10.0,6.0,13.0,12.0,11.0
8.0,14.0,8.0,15.0,15.0,7.0,8.0,9.0,16.0,10.0,8.0,1.0,5.0,11.0,15.0,10.0,6.0,13.0,14.0,11.0
8.0,14.0,10.0,15.0,15.0,7.0,8.0,9.0,18.0,11.0,8.0,2.0,6.0,11.0,15.0,12.0,6.0,15.0,14.0,11.0
9.0,14.0,10.0,15.0,20.0,8.0,8.0,15.0,18.0,14.0,8.0,2.0,9.0,11.0,15.0,12.0,6.0,15.0,16.0,13.0
9.0,14.0,11.0,20.0,20.0,8.0,8.0,15.0,19.0,14.0,9.0,2.0,9.0,12.0,15.0,14.0,6.0,17.0,16.0,13.0
9.0,14.0,11.0,20.0,20.0,8.0,9.0,15.0,19.0,14.0,10.0,3.0,9.0,13.0,15.0,17.0,9.0,18.0,16.0,13.0
10.0,17.0,11.0,20.0,23.0,8.0,9.0,16.0,19.0,16.0,10.0,3.0,10.0,13.0,17.0,17.0,9.0,18.0,18.0,15.0
10.0,17.0,12.0,21.0,23.0,9.0,11.0,16.0,19.0,16.0,12.0,3.0,10.0,13.0,17.0,17.0,10.0,18.0,18.0,15.0
10.0,17.0,12.0,21.0,23.0,9.0,11.0,16.0,21.0,19.0,12.0,6.0,10.0,14.0,17.0,18.0,10.0,18.0,18.0,18.0
11.0,17.0,12.0,21.0,23.0,9.0,11.0,16.0,23.0,20.0,12.0,7.0,10.0,16.0,18.0,19.0,11.0,18.0,18.0,18.0
11.0,17.0,12.0,22.0,23.0,9.0,11.0,19.0,23.0,20.0,13.0,7.0,11.0,16.0,18.0,19.0,11.0,18.0,19.0,18.0
11.0,17.0,15.0,22.0,23.0,9.0,12.0,21.0,26.0,22.0,13.0,7.0,11.0,16.0,18.0,21.0,12.0,18.0,19.0,19.0
11.0,18.0,15.0,23.0,28.0,9.0,12.0,21.0,26.0,22.0,17.0,7.0,11.0,16.0,18.0,21.0,12.0,18.0,20.0,19.0
12.0,18.0,15.0,23.0,31.0,9.0,15.0,21.0,26.0,22.0,18.0,7.0,11.0,16.0,18.0,21.0,12.0,18.0,20.0,19.0
12.0,19.0,15.0,26.0,31.0,10.0,15.0,21.0,28.0,22.0,18.0,7.0,11.0,18.0,18.0,21.0,13.0,19.0,20.0,19.0
12.0,19.0,16.0,26.0,31.0,10.0,17.0,21.0,28.0,24.0,19.0,9.0,12.0,18.0,20.0,22.0,13.0,19.0,20.0,19.0
12.0,21.0,16.0,28.0,33.0,10.0,17.0,21.0,30.0,24.0,19.0,9.0,12.0,19.0,20.0,22.0,13.0,19.0,23.0,19.0
12.0,21.0,21.0,28.0,33.0,10.0,17.0,21.0,32.0,24.0,19.0,10.0,12.0,19.0,20.0,25.0,13.0,20.0,25.0,20.0
12.0,24.0,23.0,28.0,33.0,10.0,17.0,21.0,32.0,28.0,19.0,10.0,12.0,20.0,21.0,26.0,13.0,21.0,25.0,20.0
15.0,24.0,23.0,28.0,33.0,10.0,20.0,21.0,32.0,28.0,20.0,10.0,12.0,20.0,21.0,26.0,13.0,21.0,25.0,20.0
15.0,25.0,23.0,28.0,35.0,12.0,20.0,21.0,32.0,30.0,20.0,10.0,12.0,22.0,22.0,26.0,13.0,22.0,27.0,21.0
15.0,25.0,24.0,29.0,35.0,12.0,20.0,21.0,32.0,30.0,20.0,10.0,12.0,23.0,22.0,29.0,14.0,24.0,27.0,21.0
16.0,25.0,24.0,29.0,38.0,12.0,20.0,21.0,32.0,31.0,20.0,10.0,12.0,23.0,25.0,29.0,14.0,24.0,27.0,21.0
16.0,25.0,28.0,32.0,38.0,12.0,23.0,21.0,36.0,31.0,20.0,10.0,12.0,25.0,25.0,30.0,16.0,28.0,27.0,21.0
